key,en,pl
FARM_BARN,"    Barn          ý     ","   Stodoła        ý     "
FARM_PIGPEN,"   Pigpen         ý     ","   Chlewik        ý     "
FARM_EMPTY,"   Meadows              "," Ściernisko             "
FARM_GARAGE,"    Garage              ","    Garaż               "
FARM_VBIG_FIELD," Huge field             ","Wielkie pole            "
FARM_SMALL_FIELD_1," Small field            ","  Małe pole             "
FARM_SMALL_FIELD_2," Small field            ","  Małe pole             "
FARM_MEDIUM_FIELD,"Medium field            ","Średnie pole            "
SHOP,"    Shop          ý     ","    Sklep         ý     "
CHURCH,"   Church               ","   Kościół              "
HERMAN,"  Herman's        ý     "," Dom Hermana      ý     "
SULEJUKOWA," Sulejukowa             "," Sulejukowa             "
HOUSE_1,"   Cottage              "," Wiejski dom            "
HOUSE_2,"   Cottage              "," Wiejski dom            "
MAIN_ROAD,"  Main road       û     ","    Szosa         û     "
VILLIAGE_ROAD,"    Road         ûû     ","   Droga         ûû     "
DIRT_ROAD,"  Dirt road      ûûû    "," Polna droga     ûûû    "
WELL,"    Well         úú     ","   Studnia       úú     "
TOILET,"   Toilet               ","  Sławojka              "
WHARF,"   Wharf                ","   Pomost               "
TASK_MANAGER_PRIO_HEADER,"Task Priority Manager    ","Manager priorytetów zadań"
TASK_MANAGER_PRIO_TABLE_HEADER_1,"                     |Skill   | Task   ","                     |Zdolność| Zadanie"
TASK_MANAGER_PRIO_TABLE_HEADER_2,"                     | | | |  |  | | | ","                     | |R|G|  |  |R|G| "
TASK_MANAGER_PRIO_TABLE_HEADER_3,"                     | | | |  |  | | | ","                     | |o|o|  |  |o|o| "
TASK_MANAGER_PRIO_TABLE_HEADER_4,"                     |A|F|C|  | A|F|C| ","                     |H|l|t|  | H|l|t| "
TASK_MANAGER_PRIO_TABLE_HEADER_5,"                     |n|a|o|  | n|a|o| ","                     |o|n|o|H | o|n|o|H"
TASK_MANAGER_PRIO_TABLE_HEADER_6,"                     |i|r|o|T | i|r|o|T","                     |d|i|w|a | d|i|w|a"
TASK_MANAGER_PRIO_TABLE_HEADER_7,"                     |m|m|k|r | m|m|k|r","                     |o|c|a|n | o|c|a|n"
TASK_MANAGER_PRIO_TABLE_HEADER_8,"                     |a|i|i|a | a|i|i|a","                     |w|t|n|d | w|t|n|d"
TASK_MANAGER_PRIO_TABLE_HEADER_9,"                     |l|n|n|d | l|n|n|d","                     |l|w|i|e | l|w|i|e"
TASK_MANAGER_PRIO_TABLE_HEADER_10,"Character            |s|g|g|e | s|g|g|e","Postać               |a|o|e|l | a|o|e|l"
OPTIONS_HEADER,"Game settings ","Ustawienia gry"
OPTIONS_HELP1,"UI items legend:  ","Znaczenie ikon UI:"
OPTIONS_HELP2,"ü - Long Fire  (1s or more)   ","ü - Długi fire (1s lub dłużej)"
OPTIONS_HELP3,"ý - Fire","ý - Fire"
OPTIONS_HELP4,"ú - Use joystick in port 2   ","ú - Użyj joysticka w porcie 2"
OPTIONS_HELP5,"û - 'Return' key    ","û - Klawisz 'Return'"
OPTIONS_HELP6,"½ - 'Escape' key in menus and on map","½ - 'Escape' w menu i na mapie      "
KITCHEN_TASK_OFF,"No                   ","Nie                  "
KITCHEN_TASK_ON,"Yes                  ","Tak                  "
KITCHEN_EATING_STYLE_LIGHT,"Bread                ","Chleb                "
KITCHEN_EATING_STYLE_MEDIUM,"Bread, meat          ","Chleb, mięso         "
KITCHEN_EATING_STYLE_FULL,"Bread, meat, veggies ","Chleb, mięso, warzywa"
KITCHEN_PREFER_SHOP,"Shop food            ","Sklepowe             "
KITCHEN_PREFER_HOME,"Home made            ","Domowe               "
KITCHEN_PREFER_POTATO,"Potato               ","Ziemniak             "
KITCHEN_PREFER_CORN,"Corn                 ","Kukurydza            "
